Tache_ID,Date,Produit,Type_tissu,Quantite_kg,Machine_utilisee,Duree_min,Resultat_qualite_pct
T01012,2024-07-03,Serviettes,Coton,478,M8,248,80.9
T01013,2023-10-17,Tissus techniques,Coton,381,M5,190,78.22
T01014,2024-11-11,Rideaux,Polyester,495,M4,67,83.18
T01015,2023-08-21,Rideaux,Polyester,467,M8,248,80.78
T01016,2024-08-10,Draps,Polyester,265,M6,282,72.72
T01017,2023-09-07,Draps,Soie,175,M4,253,80.04
T01018,2023-06-08,Serviettes,Soie,150,M1,145,73.58
T01019,2024-12-12,Tissus techniques,Mélange,466,M7,163,78.88
T01020,2023-08-02,Serviettes,Polyester,61,M8,244,74.11
T01021,2024-07-14,Draps,Soie,344,M6,64,77.63
T01022,2025-06-23,Serviettes,Soie,91,M1,167,73.02
T01023,2025-10-14,Rideaux,Polyester,490,M4,94,87.28
T01024,2024-05-16,Rideaux,Coton,382,M5,76,76.81
T01025,2023-11-09,Draps,Polyester,150,M10,171,72.05
T01026,2025-05-17,Serviettes,Polyester,348,M7,72,77.31
T01027,2023-01-03,Housses,Lin,53,M9,184,74.27
T01028,2023-07-21,Serviettes,Mélange,332,M2,211,72.12
T01029,2023-12-22,Housses,Lin,294,M2,204,70.0
T01030,2023-09-19,Housses,Lin,336,M2,216,74.96
T01031,2025-08-20,Serviettes,Coton,261,M6,60,70.32
T01032,2023-09-03,Tissus techniques,Polyester,283,M7,250,74.39
T01033,2023-02-17,Draps,Mélange,270,M8,235,76.91
T01034,2024-12-05,Serviettes,Soie,117,M5,212,70.0
T01035,2023-06-05,Housses,Mélange,165,M3,190,70.0
T01036,2023-07-28,Tissus techniques,Polyester,456,M2,184,79.33
T01037,2024-04-03,Serviettes,Coton,483,M10,256,82.25
T01038,2024-05-19,Serviettes,Coton,172,M6,95,70.0
T01039,2025-12-16,Tissus techniques,Lin,451,M6,147,81.48
T01040,2025-04-16,Tissus techniques,Polyester,82,M2,280,74.09
T01041,2025-03-11,Tissus techniques,Soie,370,M6,88,80.26
T01042,2024-04-20,Draps,Soie,136,M8,84,76.38
T01043,2024-05-18,Serviettes,Soie,138,M9,83,79.37
T01044,2025-04-10,Draps,Lin,451,M6,66,77.95
T01045,2023-04-10,Tissus techniques,Coton,415,M8,139,78.63
T01046,2025-07-28,Housses,Soie,216,M8,137,73.07
T01047,2025-12-10,Tissus techniques,Polyester,205,M5,197,74.11
T01048,2023-02-17,Tissus techniques,Lin,364,M9,228,81.88
T01049,2023-02-25,Serviettes,Polyester,216,M9,199,70.28
T01050,2024-08-09,Draps,Polyester,79,M4,256,70.0
T01051,2023-06-03,Serviettes,Polyester,441,M7,155,82.95
T01052,2023-09-23,Tissus techniques,Polyester,404,M7,218,81.14
T01053,2025-07-23,Serviettes,Mélange,301,M5,135,74.93
T01054,2024-08-03,Serviettes,Polyester,94,M3,146,74.44
T01055,2025-04-21,Housses,Lin,184,M2,66,74.7
T01056,2024-06-25,Tissus techniques,Lin,362,M10,174,81.74
T01057,2024-07-12,Tissus techniques,Lin,415,M1,284,78.52
T01058,2024-08-21,Draps,Lin,360,M4,114,80.28
T01059,2024-08-28,Tissus techniques,Soie,181,M5,276,81.55
T01060,2023-01-28,Housses,Polyester,153,M10,180,74.85
T01061,2023-12-25,Draps,Mélange,145,M1,290,73.05
T01062,2023-04-22,Rideaux,Coton,368,M4,145,79.53
T01063,2025-09-06,Tissus techniques,Coton,298,M4,235,74.86
T01064,2025-03-27,Draps,Lin,90,M1,171,78.96
T01065,2024-07-10,Tissus techniques,Polyester,99,M9,298,72.52
T01066,2024-08-17,Housses,Soie,416,M10,179,77.5
T01067,2025-09-17,Rideaux,Polyester,487,M9,220,77.23
T01068,2025-12-16,Housses,Polyester,288,M10,182,79.05
T01069,2023-02-10,Housses,Coton,284,M10,275,78.28
T01070,2024-07-03,Housses,Coton,242,M10,241,73.35
T01071,2023-04-21,Housses,Polyester,99,M1,197,73.71
T01072,2025-12-25,Serviettes,Lin,440,M8,231,74.27
T01073,2025-07-13,Housses,Soie,327,M10,206,77.09
T01074,2025-05-05,Draps,Coton,167,M3,158,74.7
T01075,2024-01-21,Serviettes,Coton,499,M6,294,85.1
T01076,2023-05-04,Draps,Polyester,436,M3,70,76.41
T01077,2025-08-14,Rideaux,Coton,462,M4,115,75.4
T01078,2024-03-27,Housses,Polyester,357,M6,181,74.45
T01079,2024-01-08,Housses,Soie,491,M2,67,75.81
T01080,2025-05-26,Housses,Lin,436,M10,182,82.73
T01081,2023-05-25,Rideaux,Lin,317,M7,198,80.99
T01082,2024-07-03,Serviettes,Mélange,279,M7,185,76.54
T01083,2024-03-04,Serviettes,Polyester,203,M6,163,77.72
T01084,2023-05-24,Serviettes,Coton,226,M4,299,74.92
T01085,2025-09-21,Serviettes,Polyester,335,M10,282,76.41
T01086,2025-12-28,Rideaux,Lin,83,M3,282,70.66
T01087,2023-01-17,Rideaux,Mélange,71,M5,72,70.49
T01088,2023-03-09,Draps,Soie,66,M4,163,70.0
T01089,2025-05-06,Serviettes,Soie,420,M4,115,79.19
T01090,2023-04-10,Serviettes,Polyester,82,M5,286,71.52
T01091,2025-08-04,Housses,Mélange,296,M7,101,78.16
T01092,2023-08-26,Tissus techniques,Mélange,487,M5,246,80.02
T01093,2023-11-20,Serviettes,Coton,67,M2,186,70.85
T01094,2023-08-09,Housses,Lin,91,M6,288,70.0
T01095,2023-08-25,Rideaux,Coton,424,M8,235,78.7
T01096,2025-07-08,Draps,Lin,123,M5,235,74.67
T01097,2023-11-28,Rideaux,Mélange,249,M2,219,71.55
T01098,2024-12-21,Rideaux,Coton,362,M7,160,77.5
T01099,2023-08-03,Rideaux,Polyester,297,M1,168,76.64
T01100,2024-12-18,Tissus techniques,Mélange,273,M3,273,73.31
T01101,2023-08-17,Rideaux,Soie,286,M2,233,73.96
T01102,2024-02-06,Draps,Mélange,352,M10,109,77.73
T01103,2025-11-28,Housses,Coton,302,M7,244,72.64
T01104,2025-08-01,Tissus techniques,Coton,50,M3,103,72.05
T01105,2025-08-19,Tissus techniques,Lin,427,M5,138,75.85
T01106,2024-03-15,Housses,Polyester,150,M1,239,76.19
T01107,2023-04-20,Housses,Soie,306,M1,167,83.13
T01108,2024-07-11,Housses,Polyester,427,M10,82,75.96
T01109,2025-09-14,Housses,Polyester,357,M9,184,78.74
T01110,2025-05-20,Serviettes,Lin,53,M4,244,70.0
T01111,2025-03-06,Tissus techniques,Mélange,489,M7,188,82.9
T01112,2024-01-21,Serviettes,Soie,237,M6,248,70.94
T01113,2024-09-12,Rideaux,Polyester,297,M7,287,77.38
T01114,2024-04-01,Housses,Lin,183,M7,133,71.04
T01115,2023-01-17,Draps,Lin,116,M3,104,71.7
T01116,2024-08-12,Draps,Polyester,88,M3,101,70.0
T01117,2024-07-10,Serviettes,Polyester,424,M1,206,80.95
T01118,2024-06-12,Tissus techniques,Lin,100,M5,257,70.0
T01119,2025-03-22,Tissus techniques,Soie,140,M3,266,74.46
T01120,2025-05-16,Tissus techniques,Soie,51,M4,202,70.0
T01121,2023-11-17,Draps,Soie,85,M1,72,71.36
T01122,2023-05-11,Housses,Mélange,396,M7,129,78.36
T01123,2023-11-15,Housses,Lin,356,M10,274,74.83
T01124,2024-10-16,Housses,Lin,386,M4,253,78.35
T01125,2025-04-08,Housses,Lin,420,M4,194,82.99
T01126,2024-07-18,Housses,Lin,332,M7,193,74.31
T01127,2025-09-05,Rideaux,Mélange,112,M8,113,75.76
T01128,2025-12-14,Housses,Coton,243,M6,106,79.35
T01129,2025-03-08,Rideaux,Coton,301,M10,273,73.57
T01130,2025-11-20,Serviettes,Soie,328,M8,119,72.19
T01131,2025-11-12,Serviettes,Coton,346,M10,193,77.83
T01132,2023-07-17,Rideaux,Mélange,256,M1,230,73.48
T01133,2023-04-10,Serviettes,Mélange,478,M10,245,85.17
T01134,2024-01-18,Tissus techniques,Soie,128,M3,164,72.66
T01135,2025-11-14,Serviettes,Mélange,95,M1,175,70.0
T01136,2024-08-15,Tissus techniques,Mélange,486,M7,173,76.28
T01137,2025-12-08,Housses,Soie,88,M9,77,75.03
T01138,2025-01-12,Housses,Soie,185,M7,188,71.99
T01139,2025-10-08,Serviettes,Coton,235,M4,237,74.83
T01140,2024-05-02,Tissus techniques,Lin,181,M3,159,76.49
T01141,2023-01-23,Serviettes,Lin,127,M5,202,71.09
T01142,2025-08-16,Serviettes,Soie,229,M2,195,74.44
T01143,2025-05-25,Housses,Coton,364,M9,270,77.23
T01144,2024-07-03,Serviettes,Lin,347,M5,65,78.99
T01145,2024-04-12,Tissus techniques,Lin,185,M8,163,75.47
T01146,2023-10-18,Rideaux,Soie,441,M3,266,78.16
T01147,2024-11-23,Housses,Polyester,67,M1,179,71.53
T01148,2023-09-22,Rideaux,Lin,310,M6,194,75.08
T01149,2023-01-19,Housses,Mélange,311,M7,171,71.79
T01150,2025-12-19,Serviettes,Polyester,380,M6,236,78.37
T01151,2023-06-03,Rideaux,Mélange,64,M5,188,76.96
T01152,2024-12-08,Rideaux,Mélange,299,M6,129,73.33
T01153,2023-05-26,Rideaux,Lin,245,M5,218,72.58
T01154,2025-07-04,Draps,Soie,305,M10,214,73.49
T01155,2025-08-15,Serviettes,Lin,132,M3,238,74.81
T01156,2024-05-28,Tissus techniques,Coton,437,M6,299,80.09
T01157,2023-04-02,Draps,Lin,304,M1,94,75.6
T01158,2024-06-24,Draps,Soie,481,M7,266,76.87
T01159,2025-08-25,Tissus techniques,Mélange,174,M9,237,73.76
T01160,2023-06-04,Rideaux,Polyester,173,M9,156,70.0
T01161,2025-10-22,Draps,Coton,272,M9,288,75.87
T01162,2023-03-25,Draps,Soie,225,M1,73,77.11
T01163,2023-07-20,Housses,Coton,228,M6,195,70.81
T01164,2024-10-08,Housses,Lin,492,M3,281,75.24
T01165,2024-05-11,Rideaux,Soie,223,M3,114,79.2
T01166,2023-03-04,Rideaux,Mélange,364,M5,131,75.44
T01167,2023-04-20,Housses,Mélange,241,M2,292,78.23
T01168,2024-07-19,Housses,Lin,156,M1,121,72.66
T01169,2025-02-11,Tissus techniques,Mélange,217,M10,293,73.85
T01170,2023-08-01,Rideaux,Soie,356,M6,241,78.44
T01171,2023-01-27,Tissus techniques,Lin,260,M2,226,72.55
T01172,2023-03-17,Tissus techniques,Polyester,71,M9,225,71.82
T01173,2023-02-15,Serviettes,Coton,401,M7,207,76.88
T01174,2025-04-27,Housses,Lin,85,M5,140,70.0
T01175,2023-09-15,Housses,Mélange,358,M10,287,78.17
T01176,2025-07-05,Housses,Mélange,170,M1,259,72.61
T01177,2025-03-18,Rideaux,Coton,234,M3,79,74.21
T01178,2025-06-02,Rideaux,Soie,492,M1,203,76.21
T01179,2023-12-04,Housses,Coton,126,M7,73,77.29
T01180,2024-12-24,Housses,Polyester,431,M9,205,81.25
T01181,2024-06-09,Housses,Mélange,84,M9,129,74.57
T01182,2024-01-20,Serviettes,Mélange,474,M7,150,78.56
T01183,2024-08-03,Housses,Lin,305,M1,235,70.91
T01184,2024-05-17,Tissus techniques,Polyester,321,M8,69,82.28
T01185,2024-07-13,Serviettes,Lin,64,M1,273,71.1
T01186,2024-07-01,Housses,Polyester,189,M7,283,71.53
T01187,2023-06-01,Draps,Lin,480,M4,294,80.85
T01188,2024-01-14,Tissus techniques,Polyester,490,M7,170,83.3
T01189,2023-06-01,Rideaux,Mélange,60,M9,278,71.13
T01190,2024-11-12,Tissus techniques,Soie,218,M8,197,78.2
T01191,2025-04-27,Tissus techniques,Mélange,408,M4,209,81.41
T01192,2023-10-10,Tissus techniques,Polyester,165,M8,98,70.07
T01193,2025-10-02,Serviettes,Polyester,495,M3,81,77.88
T01194,2025-10-24,Tissus techniques,Coton,353,M2,66,79.93
T01195,2023-08-14,Rideaux,Soie,86,M5,107,70.0
T01196,2024-11-21,Serviettes,Lin,91,M2,79,71.37
T01197,2025-10-02,Serviettes,Soie,381,M7,255,73.33
T01198,2025-03-08,Tissus techniques,Soie,148,M9,87,71.53
T01199,2023-04-01,Housses,Mélange,174,M2,127,72.58
T01200,2024-03-08,Tissus techniques,Mélange,443,M1,113,77.79
T01201,2024-07-07,Serviettes,Lin,313,M8,127,74.6
T01202,2025-03-26,Rideaux,Soie,213,M7,290,70.97
T01203,2025-07-14,Housses,Coton,432,M6,295,85.52
T01204,2025-01-02,Draps,Polyester,334,M10,228,82.28
T01205,2024-12-25,Serviettes,Mélange,109,M6,180,70.0
T01206,2024-01-03,Rideaux,Polyester,163,M9,236,78.01
T01207,2025-06-15,Housses,Coton,336,M1,183,75.52
T01208,2024-10-23,Rideaux,Mélange,420,M2,264,78.79
T01209,2024-09-17,Draps,Polyester,392,M2,135,77.65
T01210,2024-07-14,Draps,Mélange,386,M10,147,75.74
T01211,2024-02-15,Draps,Coton,51,M7,295,73.97
T01212,2024-07-27,Serviettes,Soie,250,M7,197,75.38
T01213,2025-06-10,Rideaux,Polyester,170,M7,116,71.97
T01214,2024-08-14,Tissus techniques,Polyester,359,M10,287,73.27
T01215,2024-10-20,Draps,Lin,389,M4,130,75.1
T01216,2024-03-08,Housses,Coton,477,M7,106,74.62
T01217,2023-07-14,Rideaux,Mélange,483,M5,217,79.7
T01218,2025-02-17,Tissus techniques,Coton,209,M7,286,70.59
T01219,2023-09-17,Serviettes,Soie,161,M6,197,72.42
T01220,2023-11-12,Serviettes,Lin,94,M6,81,75.99
T01221,2025-04-03,Serviettes,Polyester,270,M2,268,79.0
T01222,2023-08-01,Serviettes,Soie,309,M5,181,76.08
T01223,2023-05-10,Tissus techniques,Mélange,453,M4,174,78.8
T01224,2023-12-06,Serviettes,Mélange,462,M2,183,84.88
T01225,2024-02-20,Tissus techniques,Mélange,132,M3,148,74.2
T01226,2025-09-11,Housses,Polyester,388,M4,90,76.78
T01227,2023-11-23,Rideaux,Soie,205,M1,195,70.0
T01228,2024-05-15,Rideaux,Coton,493,M8,109,81.04
T01229,2025-08-05,Housses,Soie,103,M8,148,74.55
T01230,2024-06-15,Tissus techniques,Mélange,342,M1,158,74.95
T01231,2023-09-08,Rideaux,Polyester,126,M6,91,73.39
T01232,2023-09-02,Housses,Polyester,183,M6,140,72.57
T01233,2023-10-22,Serviettes,Polyester,103,M6,296,71.51
T01234,2023-09-14,Serviettes,Polyester,330,M5,61,70.0
T01235,2023-07-28,Draps,Soie,74,M7,124,70.81
T01236,2025-02-10,Rideaux,Polyester,158,M4,186,76.07
T01237,2025-06-27,Serviettes,Coton,99,M6,157,70.09
T01238,2025-02-09,Tissus techniques,Coton,244,M5,79,75.04
T01239,2024-08-08,Serviettes,Soie,267,M9,129,73.07
T01240,2023-12-20,Draps,Lin,186,M2,221,74.8
T01241,2024-09-03,Draps,Mélange,52,M8,88,70.39
T01242,2025-06-16,Draps,Polyester,226,M2,139,71.7
T01243,2025-06-04,Rideaux,Mélange,488,M6,143,83.76
T01244,2025-04-18,Tissus techniques,Lin,246,M9,69,77.71
T01245,2024-03-20,Tissus techniques,Soie,421,M2,276,76.61
T01246,2025-01-18,Rideaux,Lin,316,M9,286,77.81
T01247,2023-07-27,Housses,Polyester,321,M3,279,78.03
T01248,2024-12-06,Serviettes,Coton,471,M10,214,81.35
T01249,2023-08-01,Rideaux,Soie,191,M5,147,70.0
T01250,2023-04-01,Draps,Soie,393,M1,126,80.88
T01251,2024-12-24,Draps,Mélange,364,M1,190,75.57
T01252,2023-09-16,Serviettes,Lin,77,M1,105,70.47
T01253,2024-11-27,Tissus techniques,Lin,415,M3,266,86.21
T01254,2024-03-06,Serviettes,Soie,163,M7,216,74.17
T01255,2024-01-09,Serviettes,Lin,382,M7,287,76.48
T01256,2023-06-19,Draps,Polyester,287,M4,151,70.0
T01257,2023-06-27,Serviettes,Lin,264,M6,126,79.45
T01258,2025-04-02,Rideaux,Lin,338,M8,287,72.72
T01259,2023-05-27,Rideaux,Coton,149,M6,267,70.0
T01260,2025-10-14,Rideaux,Lin,265,M1,222,74.31
T01261,2024-01-23,Draps,Mélange,337,M10,240,80.99
T01262,2024-03-15,Rideaux,Coton,408,M6,82,80.48
T01263,2024-11-23,Serviettes,Coton,486,M7,134,79.25
T01264,2023-02-20,Housses,Coton,409,M4,171,79.1
T01265,2024-07-10,Draps,Lin,407,M6,296,76.34
T01266,2024-03-14,Draps,Coton,261,M3,198,75.64
T01267,2025-10-22,Serviettes,Lin,146,M9,126,73.14
T01268,2023-06-28,Tissus techniques,Mélange,365,M4,197,80.21
T01269,2025-10-11,Housses,Polyester,238,M9,204,77.66
T01270,2023-03-11,Draps,Soie,192,M8,142,75.32
T01271,2023-10-09,Housses,Soie,284,M6,161,74.59
T01272,2024-06-04,Serviettes,Mélange,483,M9,232,81.89
T01273,2025-11-11,Tissus techniques,Lin,324,M4,169,76.2
T01274,2024-07-14,Rideaux,Soie,79,M4,80,70.0
T01275,2025-01-03,Serviettes,Lin,371,M2,122,76.21
T01276,2023-11-25,Housses,Soie,232,M4,224,74.89
T01277,2025-05-06,Draps,Polyester,197,M9,114,76.67
T01278,2024-05-22,Rideaux,Soie,197,M10,189,73.39
T01279,2025-12-21,Serviettes,Mélange,267,M9,111,71.71
T01280,2025-12-05,Rideaux,Lin,240,M5,115,74.97
T01281,2023-10-28,Serviettes,Polyester,402,M4,298,78.38
T01282,2024-03-03,Rideaux,Coton,300,M4,234,76.56
T01283,2024-07-14,Draps,Soie,322,M10,223,79.2
T01284,2025-12-24,Serviettes,Polyester,290,M2,151,78.86
T01285,2024-06-14,Draps,Coton,329,M1,230,74.8
T01286,2023-01-26,Serviettes,Coton,133,M3,287,70.81
T01287,2023-12-05,Serviettes,Mélange,223,M6,87,71.34
T01288,2023-02-28,Tissus techniques,Mélange,312,M4,94,78.34
T01289,2023-03-18,Rideaux,Polyester,100,M5,92,76.35
T01290,2023-07-27,Serviettes,Lin,261,M3,89,74.27
T01291,2024-05-11,Serviettes,Soie,104,M6,225,71.36
T01292,2023-05-11,Draps,Mélange,251,M8,199,79.42
T01293,2024-08-18,Housses,Coton,442,M2,233,80.36
T01294,2023-11-12,Housses,Coton,156,M3,168,74.43
T01295,2025-05-06,Serviettes,Lin,411,M7,108,74.65
T01296,2024-06-26,Rideaux,Soie,362,M1,113,79.28
T01297,2023-12-13,Housses,Lin,94,M1,284,70.0
T01298,2024-08-03,Housses,Soie,176,M3,111,70.12
T01299,2025-09-04,Rideaux,Polyester,224,M6,95,73.44
T01300,2024-09-24,Tissus techniques,Soie,377,M3,221,75.78
T01301,2024-01-06,Serviettes,Polyester,269,M5,65,74.72
T01302,2025-10-08,Draps,Mélange,363,M10,196,72.94
T01303,2024-09-20,Draps,Mélange,420,M6,63,81.28
T01304,2024-12-18,Tissus techniques,Soie,341,M7,205,80.2
T01305,2025-10-19,Serviettes,Mélange,105,M10,225,70.0
T01306,2023-11-19,Rideaux,Mélange,468,M8,129,82.3
T01307,2024-02-06,Serviettes,Coton,356,M1,69,74.69
T01308,2023-05-03,Rideaux,Polyester,107,M8,277,74.71
T01309,2024-09-25,Tissus techniques,Lin,281,M4,145,75.41
T01310,2023-04-06,Tissus techniques,Coton,116,M9,258,72.41
T01311,2025-10-13,Tissus techniques,Soie,306,M7,267,75.56
T01312,2025-06-27,Housses,Polyester,158,M2,82,76.8
T01313,2024-03-03,Draps,Soie,231,M2,138,70.9
T01314,2025-10-09,Tissus techniques,Lin,452,M10,299,80.86
T01315,2024-12-12,Rideaux,Lin,90,M1,147,75.1
T01316,2024-08-16,Draps,Coton,154,M1,229,75.23
T01317,2023-08-11,Housses,Soie,71,M9,295,78.39
T01318,2025-09-19,Rideaux,Mélange,246,M10,175,73.33
T01319,2025-04-11,Housses,Polyester,154,M5,290,75.95
T01320,2023-04-04,Rideaux,Mélange,191,M6,102,73.5
T01321,2025-02-06,Rideaux,Mélange,271,M1,168,79.12
T01322,2023-11-25,Draps,Mélange,312,M2,201,76.22
T01323,2023-11-09,Draps,Mélange,496,M10,209,78.76
T01324,2023-06-04,Rideaux,Coton,199,M1,151,77.9
T01325,2023-09-12,Draps,Coton,410,M4,232,76.73
T01326,2024-08-21,Rideaux,Lin,357,M7,292,72.9
T01327,2023-07-09,Draps,Lin,137,M7,137,71.19
T01328,2024-03-11,Rideaux,Lin,408,M10,249,80.02
T01329,2023-05-11,Serviettes,Mélange,420,M7,63,82.58
T01330,2024-03-09,Draps,Mélange,92,M8,132,72.17
T01331,2025-11-09,Serviettes,Polyester,394,M4,297,81.83
T01332,2025-12-23,Tissus techniques,Mélange,383,M6,252,73.59
T01333,2025-03-15,Tissus techniques,Mélange,488,M3,64,78.43
T01334,2025-02-18,Housses,Coton,134,M3,138,71.81
T01335,2024-07-04,Rideaux,Lin,449,M9,70,78.64
T01336,2025-08-01,Serviettes,Coton,361,M8,210,77.47
T01337,2025-01-20,Tissus techniques,Lin,233,M2,272,76.73
T01338,2025-06-20,Draps,Coton,290,M6,226,74.47
T01339,2023-04-04,Tissus techniques,Coton,119,M6,289,72.8
T01340,2023-04-16,Housses,Soie,50,M9,159,70.86
T01341,2023-05-21,Serviettes,Soie,440,M8,295,76.02
T01342,2024-09-15,Serviettes,Polyester,151,M8,82,72.68
T01343,2024-03-02,Draps,Polyester,167,M4,118,72.91
T01344,2023-01-07,Serviettes,Polyester,245,M10,293,74.4
T01345,2024-05-15,Rideaux,Coton,147,M4,77,73.04
T01346,2023-06-03,Housses,Soie,307,M4,216,76.37
T01347,2024-09-25,Rideaux,Lin,122,M7,227,71.14
T01348,2024-04-03,Rideaux,Polyester,158,M1,211,76.98
T01349,2025-01-07,Rideaux,Mélange,110,M4,79,70.0
T01350,2024-07-21,Rideaux,Lin,489,M7,170,77.62
T01351,2024-02-07,Tissus techniques,Polyester,264,M4,144,83.62
T01352,2023-12-10,Rideaux,Lin,144,M9,253,70.0
T01353,2025-03-07,Serviettes,Polyester,401,M4,272,73.96
T01354,2024-09-22,Rideaux,Lin,471,M10,174,81.62
T01355,2025-10-07,Rideaux,Mélange,484,M7,150,73.45
T01356,2024-08-11,Housses,Lin,378,M4,148,76.85
T01357,2023-02-22,Housses,Soie,50,M7,135,77.44
T01358,2023-07-10,Draps,Lin,150,M2,142,70.0
T01359,2024-01-05,Rideaux,Polyester,285,M9,112,70.0
T01360,2023-08-11,Draps,Coton,254,M4,96,70.58
T01361,2024-11-01,Serviettes,Polyester,342,M2,124,79.54
T01362,2023-01-22,Rideaux,Lin,244,M10,220,78.25
T01363,2024-04-27,Tissus techniques,Polyester,135,M8,298,71.16
T01364,2023-12-03,Serviettes,Soie,183,M6,300,75.71
T01365,2024-04-13,Tissus techniques,Soie,310,M8,216,80.37
T01366,2024-08-22,Rideaux,Soie,295,M3,158,81.26
T01367,2025-09-14,Serviettes,Coton,453,M2,236,78.32
T01368,2023-04-08,Serviettes,Soie,364,M9,248,70.38
T01369,2025-09-05,Draps,Soie,50,M3,224,70.0
T01370,2024-11-28,Tissus techniques,Coton,358,M10,158,75.88
T01371,2023-05-28,Housses,Polyester,369,M2,279,76.6
T01372,2025-06-04,Rideaux,Soie,231,M7,91,74.06
T01373,2024-12-02,Serviettes,Mélange,194,M10,143,77.24
T01374,2025-03-13,Draps,Soie,313,M3,275,80.08
T01375,2023-09-15,Housses,Polyester,413,M7,78,77.74
T01376,2024-02-25,Draps,Mélange,244,M7,77,78.18
T01377,2025-06-20,Serviettes,Mélange,500,M4,100,81.07
T01378,2025-06-15,Housses,Mélange,73,M9,189,71.65
T01379,2024-01-14,Housses,Coton,147,M1,268,75.66
T01380,2025-04-10,Tissus techniques,Coton,90,M3,72,72.02
T01381,2023-08-07,Draps,Lin,169,M9,220,79.55
T01382,2024-11-19,Rideaux,Coton,405,M3,211,73.78
T01383,2025-03-02,Tissus techniques,Lin,125,M4,71,70.95
T01384,2023-04-12,Housses,Lin,163,M4,207,72.88
T01385,2025-10-22,Rideaux,Coton,104,M2,121,73.4
T01386,2025-10-19,Tissus techniques,Soie,457,M4,198,82.94
T01387,2025-08-20,Serviettes,Soie,332,M8,159,76.57
T01388,2024-09-27,Serviettes,Lin,250,M1,222,70.73
T01389,2025-12-10,Serviettes,Lin,353,M7,267,79.59
T01390,2024-06-04,Rideaux,Polyester,401,M5,263,80.28
T01391,2025-07-11,Tissus techniques,Polyester,151,M1,289,70.0
T01392,2024-03-27,Draps,Soie,320,M2,139,76.39
T01393,2025-11-28,Housses,Polyester,464,M10,217,74.51
T01394,2025-02-19,Housses,Soie,122,M1,104,70.45
T01395,2025-09-03,Draps,Lin,55,M1,192,70.0
T01396,2024-04-21,Serviettes,Mélange,111,M5,289,74.65
T01397,2023-10-23,Housses,Coton,436,M2,239,79.07
T01398,2025-08-19,Tissus techniques,Lin,149,M1,220,70.0
T01399,2024-01-15,Rideaux,Mélange,223,M1,282,77.1
T01400,2024-05-08,Serviettes,Soie,99,M10,102,70.0
T01401,2025-09-21,Draps,Lin,411,M9,131,79.21
T01402,2025-05-25,Draps,Soie,94,M7,211,70.0
T01403,2023-11-14,Serviettes,Polyester,475,M1,193,78.4
T01404,2025-09-25,Rideaux,Coton,385,M7,119,79.21
T01405,2023-04-17,Draps,Lin,300,M1,290,77.56
T01406,2025-06-16,Rideaux,Coton,69,M4,181,75.39
T01407,2024-03-06,Tissus techniques,Polyester,357,M5,91,76.89
T01408,2025-06-05,Rideaux,Mélange,157,M9,149,74.06
T01409,2023-07-08,Rideaux,Soie,314,M2,264,74.97
T01410,2023-07-10,Rideaux,Soie,260,M9,130,75.75
T01411,2024-02-27,Serviettes,Lin,400,M10,75,79.32
T01412,2023-01-06,Housses,Coton,223,M9,257,74.17
T01413,2025-06-22,Draps,Coton,332,M6,194,71.23
T01414,2023-02-27,Draps,Coton,196,M7,71,74.91
T01415,2023-04-25,Rideaux,Lin,222,M10,161,75.53
T01416,2025-03-17,Housses,Coton,99,M5,72,70.0
T01417,2025-02-28,Serviettes,Lin,222,M7,118,70.59
T01418,2023-07-16,Tissus techniques,Soie,75,M3,175,75.93
T01419,2023-07-18,Housses,Lin,287,M9,289,77.21
T01420,2025-09-18,Rideaux,Soie,312,M8,82,75.55
T01421,2025-02-28,Housses,Lin,482,M9,118,76.23
T01422,2024-08-22,Tissus techniques,Coton,228,M2,63,72.09
T01423,2025-12-23,Rideaux,Soie,169,M1,220,77.29
T01424,2025-01-06,Housses,Lin,98,M4,89,72.37
T01425,2025-02-23,Rideaux,Mélange,138,M5,221,71.11
T01426,2023-12-10,Serviettes,Coton,190,M5,139,75.33
T01427,2024-10-15,Housses,Mélange,201,M3,263,71.58
T01428,2024-10-14,Serviettes,Polyester,346,M1,254,81.42
T01429,2023-02-19,Tissus techniques,Soie,319,M10,117,80.44
T01430,2023-05-12,Draps,Coton,182,M2,218,72.24
T01431,2024-02-22,Draps,Lin,372,M1,114,75.55
T01432,2023-08-25,Tissus techniques,Soie,86,M8,61,70.0
T01433,2024-12-04,Tissus techniques,Soie,334,M5,278,72.24
T01434,2024-05-26,Housses,Lin,457,M1,298,75.12
T01435,2025-09-16,Serviettes,Mélange,208,M9,295,74.57
T01436,2023-09-04,Housses,Soie,343,M7,214,75.88
T01437,2023-04-25,Rideaux,Polyester,181,M1,143,70.0
T01438,2024-08-05,Rideaux,Soie,437,M8,103,77.9
T01439,2023-04-25,Housses,Soie,486,M4,226,81.24
T01440,2024-03-01,Housses,Coton,258,M1,229,76.74
T01441,2024-10-22,Rideaux,Coton,294,M3,281,70.18
T01442,2023-02-20,Draps,Coton,274,M1,238,75.1
T01443,2024-07-27,Housses,Soie,174,M8,94,70.0
T01444,2023-12-18,Rideaux,Mélange,344,M4,275,79.59
T01445,2024-09-09,Draps,Polyester,296,M1,259,78.27
T01446,2024-12-15,Draps,Lin,475,M7,141,76.81
